Minute,Average of GHI,Average of Temperature
12730,0,13.100000000000001
12740,0,13
12750,0,12.9
12760,0,12.8
12770,0,12.700000000000001
12780,0,12.600000000000001
12790,0,12.5
12800,0,12.4
12810,0,12.3
12820,0,12.200000000000001
12830,0,12.100000000000001
12840,0,12.100000000000001
12850,0,12
12860,0,11.9
12870,0,11.9
12880,0,11.8
12890,0,11.700000000000001
12900,0,11.600000000000001
12910,0,11.600000000000001
12920,0,11.600000000000001
12930,0,11.600000000000001
12940,0,11.600000000000001
12950,0,11.600000000000001
12960,0,11.600000000000001
12970,0,11.5
12980,0,11.5
12990,0,11.5
13000,0,11.4
13010,0,11.4
13020,0,11.4
13030,0,11.4
13040,0,11.4
13050,0,11.3
13060,0,11.3
13070,0,11.3
13080,0,11.3
13090,0,11.3
13100,0,11.4
13110,0,11.4
13120,0,11.5
13130,0,11.5
13140,0,11.5
13150,0,11.600000000000001
13160,0,11.600000000000001
13170,0,11.600000000000001
13180,0,11.600000000000001
13190,0,11.700000000000001
13200,0,11.700000000000001
13210,0,11.700000000000001
13220,0,11.700000000000001
13230,0,11.700000000000001
13240,0,11.8
13250,0,11.8
13260,0,11.8
13270,0,11.8
13280,0,11.8
13290,0,11.8
13300,0,11.8
13310,0,11.8
13320,0,11.700000000000001
13330,0,11.700000000000001
13340,0,11.700000000000001
13350,0,11.700000000000001
